rho2.3   16Mg+16Si+49O+Pb N=  82  V[A^3]= 1320.7915 rho[g/cc]=  2.3000 T[K]=   5000  P[GPa]=     2.693  0.146 E[Ha]= -15.76932500  0.04125000  t= 10.84  6.50  
rho2.4   16Mg+16Si+49O+Pb N=  82  V[A^3]= 1265.7585 rho[g/cc]=  2.4000 T[K]=   5000  P[GPa]=     3.864  0.096 E[Ha]= -15.80606200  0.03331500  t=  8.62  5.17  
rho2.5   16Mg+16Si+49O+Pb N=  82  V[A^3]= 1215.1282 rho[g/cc]=  2.5000 T[K]=   5000  P[GPa]=     4.118  0.136 E[Ha]= -15.87479400  0.03197500  t= 11.03  6.62  
rho2.6   16Mg+16Si+49O+Pb N=  82  V[A^3]= 1178.6108 rho[g/cc]=  2.5775 T[K]=   5000  P[GPa]=     5.336  0.161 E[Ha]= -15.91789000  0.05010000  t=  9.02  5.41  
rho2.7   16Mg+16Si+49O+Pb N=  82  V[A^3]= 1125.1187 rho[g/cc]=  2.7000 T[K]=   5000  P[GPa]=     7.097  0.176 E[Ha]= -16.05380300  0.02507700  t= 11.66  7.00  
rho2.8   16Mg+16Si+49O+Pb N=  82  V[A^3]= 1094.4243 rho[g/cc]=  2.7757 T[K]=   5000  P[GPa]=     8.094  0.147 E[Ha]= -16.07257900  0.02929300  t=  9.51  5.70  
rho2.9   16Mg+16Si+49O+Pb N=  82  V[A^3]= 1047.5243 rho[g/cc]=  2.9000 T[K]=   5000  P[GPa]=    10.157  0.173 E[Ha]= -16.12595100  0.03702700  t=  7.90  4.74  
rho3.0   16Mg+16Si+49O+Pb N=  82  V[A^3]= 1021.4627 rho[g/cc]=  2.9740 T[K]=   5000  P[GPa]=    11.410  0.232 E[Ha]= -16.13898900  0.03250900  t= 11.05  6.63  
rho3.1   16Mg+16Si+49O+Pb N=  82  V[A^3]=  979.9421 rho[g/cc]=  3.1000 T[K]=   5000  P[GPa]=    13.951  0.188 E[Ha]= -16.12633800  0.03474200  t= 10.30  6.18  
15GPa    16Mg+16Si+49O+Pb N=  82  V[A^3]=  963.6735 rho[g/cc]=  3.1523 T[K]=   5000  P[GPa]=    14.801  0.220 E[Ha]= -16.16079500  0.02426500  t=  9.02  5.41  
rho3.3   16Mg+16Si+49O+Pb N=  82  V[A^3]=  920.5516 rho[g/cc]=  3.3000 T[K]=   5000  P[GPa]=    18.533  0.232 E[Ha]= -16.11994900  0.01821900  t=  9.99  6.00  
rho3.4   16Mg+16Si+49O+Pb N=  82  V[A^3]=  893.4766 rho[g/cc]=  3.4000 T[K]=   5000  P[GPa]=    21.579  0.184 E[Ha]= -16.14344300  0.03139500  t=  9.46  5.68  
